Incident Reference,IMB incident number,Incident Type,Incident Action,Territorial Water Status,Closest Coastal State,Closest State COW Code,Location Description,Day,Month,Year,Lat Decimal Degrees,Long Decimal Degrees,Location Precision,Geolocation Source,Vessel Name,Flag,Flag COW Code,Vessel Type,Steaming or Stationary,Number of Assailants,Armed,Weaponry,Violence,Violence Dummy,Type of Stolen Goods,Port Response Received,Ransom Paid,Steaming Recode,Incident_type_recode,Incident_action_recode,Time_Day,Converted Time
1,,,,Taiwan,Taiwan,713,Hong Kong - Luzon - Hainan,2,1,1993,19.7,116.9666667,1,IMB,Mv Cosmic Leader,Philippines,840,10,Unspecified,,,,,,,,,-99,-99,-99,3,0.934027778
2,,,,China,China,710,Hong Kong - Luzon - Hainan,4,1,1993,22.35,116,1,IMB,Mv Tricolor Star III,Panama,95,6,Unspecified,,,,,,,,,-99,-99,-99,4,0.072916667
4,,,,Algeria,Algeria,615,Yellow Sea,6,1,1993,36.6715,0,5,IMB,Peiozyornyy,Russia,365,10,Unspecified,,,,,,,,,-99,-99,-99,-99,
3,,,,Taiwan,Taiwan,713,Hong Kong - Luzon - Hainan,6,1,1993,19.67,115.25,5,IMB,Mv Arktis Star,Denmark,390,6,Unspecified,,,,,,,,,-99,-99,-99,-99,
5,,,,China,China,710,East China Sea,8,1,1993,29.9,124.5833333,1,IMB,Ussurijsk,Russia,365,8,Unspecified,,,,,,,,,-99,-99,-99,4,0.208333333
6,,,,Philippines,Philippines,840,Hong Kong - Luzon - Hainan,12,1,1993,18.1333333,120.2666667,1,IMB,Mv Chennai Nermai,India,750,2,Unspecified,,,,,,,,,-99,-99,-99,4,0.25
7,,,,Cambodia,Cambodia,811,Gulf of Thailand. South China Sea,13,1,1993,9.7173,101.85,4,IMB,Emelyan Yaroslavskiy,Russia,365,,Unspecified,,,,,,,,,-99,-99,-99,4,0.1875
8,,,,Vietnam,Vietnam,816,South China Sea,25,1,1993,8.5666667,106.8666667,1,IMB,Mv Indira Ghandhi,Russia,365,10,Unspecified,,,,,,,,,-99,-99,-99,-99,
11,,,,Angola,Angola,540,"Luanda, Angola",26,1,1993,-8.8,13.25,2,IMB,Mv Bodrog,Hungary,310,6,Anchored,,,,,,,,,2,-99,-99,4,0.024305556
9,,,,China,China,710,East China Sea,26,1,1993,29,123.5,1,IMB,Mt Petrobulk Panther,Belgium,211,8,Unspecified,,,,,,,,,-99,-99,-99,2,0.697916667
10,,,,Philippines,Philippines,840,South China Sea,26,1,1993,4.4333333,119.4,1,IMB,Mv Southern King,Panama,95,6,Unspecified,,,,,,,,,-99,-99,-99,3,0.854166667
12,,,,Angola,Angola,540,"Port of Luanda, Angola",27,1,1993,-8.8,13.25,4,IMB,,,,,Unspecified,,,,,,,,,-99,-99,-99,4,0.024305556
13,,,,China,China,710,East China Sea,4,2,1993,25.75,123.1666667,1,IMB,Sukhinichi,Russia,365,,Unspecified,,,,,,,,,-99,-99,-99,2,0.583333333
14,,,,Nigeria,Nigeria,475,"Bonny Anchorage, Nigeria",5,2,1993,5.0016667,7.2266667,2,IMB,Mv Norgas Navigator,Norway,385,7,Anchored,,,,,,,,,2,-99,-99,4,0.090277778
15,,,,Philippines,Philippines,840,Hong Kong - Luzon - Hainan,6,2,1993,16.5833333,118.1666667,1,IMB,Mv Hulpha Kluang,Malaysia,820,4,Unspecified,,,,,,,,,-99,-99,-99,1,0.3125
16,,,,China,China,710,7.4 miles SE of Waglan. South China Sea,15,2,1993,38.6974,121.2995,3,IMB,Mv Marine Peace,Panama,95,6,Unspecified,,,,,,,,,-99,-99,-99,3,0.916666667
19,,,,Tanzania,Tanzania,510,"Dar-Es-Salam Anchor, Tanzania",16,2,1993,-6.775,39.3533333,2,IMB,Mv Socol 5,Panama,95,6,Unspecified,,,,,,,,,-99,-99,-99,4,0.145833333
20,,,,Tanzania,Tanzania,510,"Dar-Es-Salam Roads, Tanzania",16,2,1993,-6.775,39.3533333,4,IMB,,,,,Unspecified,,,,,,,,,-99,-99,-99,4,0.145833333
18,,,,Paracel Islands,Paracel Islands,710,,16,2,1993,15.7833333,111.2,1,IMB,Mt Samuel L. Cobb,USA,2,8,Unspecified,,,,,,,,,-99,-99,-99,3,0.847222222
21,,,,Paracel Islands,Paracel Islands,710,Hong Kong - Luzon - Hainan,16,2,1993,17.3333333,111.0333333,1,IMB,Mv Mary Nour,Panama,95,10,Unspecified,,,,,,,,,-99,-99,-99,4,0.16875
17,,,,Philippines,Philippines,840,Hong Kong - Luzon - Hainan,16,2,1993,19.3166667,118.7166667,1,IMB,Mv Lion,Denmark,390,6,Unspecified,,,,,,,,,-99,-99,-99,2,0.666666667
22,,,,Taiwan,Taiwan,713,Western Luzon. Hong Kong - Luzon - Hainan,18,2,1993,19.67,115.25,4,IMB,Mv Aleksandr Tsyurupa,Russia,365,6,Unspecified,,,,,,,,,-99,-99,-99,-99,
