incident_reference,imb_incident_number,incident_type,incident_action,territorial_water_status,closest_coastal_state,closest_state_cow_code,location_description,day,month,year,lat_decimal_degrees,long_decimal_degrees,location_precision,geolocation_source,vessel_name,flag,flag_cow_code,vessel_type,steaming_or_stationary,number_of_assailants,armed,weaponry,violence,violence_dummy,type_of_stolen_goods,port_response_received,ransom_paid,steaming_recode,incident_type_recode,incident_action_recode,time_day,converted_time
1,,,,taiwan,taiwan,713,hong_kong_-_luzon_-_hainan,2,1,1993,19.7,116.9666667,1,imb,mv_cosmic_leader,philippines,840,10,unspecified,,,,,,,,,-99,-99,-99,3,0.934027778
2,,,,china,china,710,hong_kong_-_luzon_-_hainan,4,1,1993,22.35,116,1,imb,mv_tricolor_star_iii,panama,95,6,unspecified,,,,,,,,,-99,-99,-99,4,0.072916667
4,,,,algeria,algeria,615,yellow_sea,6,1,1993,36.6715,0,5,imb,peiozyornyy,russia,365,10,unspecified,,,,,,,,,-99,-99,-99,-99,
3,,,,taiwan,taiwan,713,hong_kong_-_luzon_-_hainan,6,1,1993,19.67,115.25,5,imb,mv_arktis_star,denmark,390,6,unspecified,,,,,,,,,-99,-99,-99,-99,
5,,,,china,china,710,east_china_sea,8,1,1993,29.9,124.5833333,1,imb,ussurijsk,russia,365,8,unspecified,,,,,,,,,-99,-99,-99,4,0.208333333
6,,,,philippines,philippines,840,hong_kong_-_luzon_-_hainan,12,1,1993,18.1333333,120.2666667,1,imb,mv_chennai_nermai,india,750,2,unspecified,,,,,,,,,-99,-99,-99,4,0.25
7,,,,cambodia,cambodia,811,gulf_of_thailand._south_china_sea,13,1,1993,9.7173,101.85,4,imb,emelyan_yaroslavskiy,russia,365,,unspecified,,,,,,,,,-99,-99,-99,4,0.1875
8,,,,vietnam,vietnam,816,south_china_sea,25,1,1993,8.5666667,106.8666667,1,imb,mv_indira_ghandhi,russia,365,10,unspecified,,,,,,,,,-99,-99,-99,-99,
11,,,,angola,angola,540,"luanda,_angola",26,1,1993,-8.8,13.25,2,imb,mv_bodrog,hungary,310,6,anchored,,,,,,,,,2,-99,-99,4,0.024305556
9,,,,china,china,710,east_china_sea,26,1,1993,29,123.5,1,imb,mt_petrobulk_panther,belgium,211,8,unspecified,,,,,,,,,-99,-99,-99,2,0.697916667
10,,,,philippines,philippines,840,south_china_sea,26,1,1993,4.4333333,119.4,1,imb,mv_southern_king,panama,95,6,unspecified,,,,,,,,,-99,-99,-99,3,0.854166667
12,,,,angola,angola,540,"port_of_luanda,_angola",27,1,1993,-8.8,13.25,4,imb,,,,,unspecified,,,,,,,,,-99,-99,-99,4,0.024305556
13,,,,china,china,710,east_china_sea,4,2,1993,25.75,123.1666667,1,imb,sukhinichi,russia,365,,unspecified,,,,,,,,,-99,-99,-99,2,0.583333333
14,,,,nigeria,nigeria,475,"bonny_anchorage,_nigeria",5,2,1993,5.0016667,7.2266667,2,imb,mv_norgas_navigator,norway,385,7,anchored,,,,,,,,,2,-99,-99,4,0.090277778
15,,,,philippines,philippines,840,hong_kong_-_luzon_-_hainan,6,2,1993,16.5833333,118.1666667,1,imb,mv_hulpha_kluang,malaysia,820,4,unspecified,,,,,,,,,-99,-99,-99,1,0.3125
16,,,,china,china,710,7.4_miles_se_of_waglan._south_china_sea,15,2,1993,38.6974,121.2995,3,imb,mv_marine_peace,panama,95,6,unspecified,,,,,,,,,-99,-99,-99,3,0.916666667
19,,,,tanzania,tanzania,510,"dar-es-salam_anchor,_tanzania",16,2,1993,-6.775,39.3533333,2,imb,mv_socol_5,panama,95,6,unspecified,,,,,,,,,-99,-99,-99,4,0.145833333
20,,,,tanzania,tanzania,510,"dar-es-salam_roads,_tanzania",16,2,1993,-6.775,39.3533333,4,imb,,,,,unspecified,,,,,,,,,-99,-99,-99,4,0.145833333
18,,,,paracel_islands,paracel_islands,710,,16,2,1993,15.7833333,111.2,1,imb,mt_samuel_l._cobb,usa,2,8,unspecified,,,,,,,,,-99,-99,-99,3,0.847222222
21,,,,paracel_islands,paracel_islands,710,hong_kong_-_luzon_-_hainan,16,2,1993,17.3333333,111.0333333,1,imb,mv_mary_nour,panama,95,10,unspecified,,,,,,,,,-99,-99,-99,4,0.16875
17,,,,philippines,philippines,840,hong_kong_-_luzon_-_hainan,16,2,1993,19.3166667,118.7166667,1,imb,mv_lion,denmark,390,6,unspecified,,,,,,,,,-99,-99,-99,2,0.666666667
22,,,,taiwan,taiwan,713,western_luzon._hong_kong_-_luzon_-_hainan,18,2,1993,19.67,115.25,4,imb,mv_aleksandr_tsyurupa,russia,365,6,unspecified,,,,,,,,,-99,-99,-99,-99,
24,,,,south_korea,south_korea,732,east_china_sea,25,2,1993,36.2,124.4333333,1,imb,mv_komsomolets,russia,365,6,unspecified,,,,,,,,,-99,-99,-99,3,0.784722222
23,,,,vietnam,vietnam,816,south_china_sea,25,2,1993,8.5166667,104.4,1,imb,mv_great_amity,panama,95,2,unspecified,,,,,,,,,-99,-99,-99,3,0.822916667
