Incident Reference,Incident Type,Incident Action,Territorial Water Status,Closest Coastal State,Closest State COW Code,IMO?,Location Description,Day,Month,Year,Hour (24-Hr Format),Latitude GPS,Latitude Direction,Lat Degrees,Lat Minutes,Lat Decimal Degrees,Longitude GPS,Longitude Direction,Long Degrees,Long Minutes,Long Decimal Degrees,Location Precision,Geolocation Source,Vessel Name,Flag,Flag COW Code,Vessel Type,Steaming or Stationary,Number of Assailants,Armed,Weaponry,Violence,Violence Dummy,Type of Stolen Goods,Port Response Received,Ransom Paid,Steaming Recode,Incident_type_recode,Incident_action_recode,Time_Day,Converted Time
565,Attempted,,Turkey,Turkey,640,,"Mersin port, Turkey",9,2,1997,,01.53.19,North,36,46,36.7666667,34:38.59,East,34,38.59,34.6432,2,IMB,Tirana,Albania,339,6,Steaming,Unspecified,0,Unspecified,,0,0,1,0,1,0,-99,-99,
2435,Actual,Boarding,Indonesia,Indonesia,850,,"Samarinda Anchorage, Indonesia",6,1,2003,2:00,0:31.59,South,0,31.59,-0.5265,004.88.13,East,117,9,117.1500,2,IMB,Setif II,Algeria,615,2,Anchored,5,1,Knives,,1,1,1,0,2,1,2,4,2:00:00 AM
5104,Actual,Hijacked,Oman,Oman,698,,"Off Oman, Off Somalia",1,1,2011,10:30,15:45,North,15.0000,45.0000,15.7500,055:52,East,55.0000,52.0000,55.8667,1,IMB,Bilda,Algeria,615,2,Steaming,Unspecified,1,Unspecified,0,0,0,1,1,1,1,1,1,10:30:00 AM
3391,Actual,Hijacked,Somalia,Somalia,520,,"Vicinity of Mogadishu, Somalia",26,9,2005,,2:1.0000,North,2.0000,1.0000,2.0167,45:21.0000,East, 45.0000 ,21.0000,45.3500,4,IMB,IBN Batouta,Algeria,615,6,Steaming,Unspecified,0,Unspecified,1,1,1,1,0,1,1,1,-99,
619,Actual,Boarding,Senegal,Senegal,433,,"Dakar, Senegal",9,5,1997,,00.61.11,North,14,40,14.6666667,000.72.36,West,17,22,-17.3667,4,IMB,Zaccar,Algeria,615,8,Unspecified,Unspecified,1,Unspecified,,0,1,1,0,-99,1,2,-99,
1582,Actual,Boarded,Ghana,Ghana,452,,"Tema Anchorage, Ghana",28,9,2000,,5:37.55,North,5,37.55,5.6258333,0:0.42,East,0,0.42,0.0070,2,IMB,Carina,Antigua & Barbuda,57,4,Anchored,Unspecified,0,Unspecified,0,0,None,1,0,2,1,2,-99,
4073,Attempted,,Yemen,Yemen,679,,Gulf of Aden,21,6,2008,6:10,13:08.7,North,13.0000,8.7000,13.1450,48:03.7,East,48.0000,3.7000,48.0617,1,IMB,Hudson Bay,Antigua & Barbuda,58,-99,Steaming,Unspecified,0,Unknown,1,1,0,1,0,1,0,-99,1,6:10:00 AM
4862,Actual,Boarded,Guyana,Guyana,110,,"Georgetown Roads, Guyana (Located Port, aka: Georgetown Anchorage, used coordinates from other observations.)",3,7,2010,20:35,6:41.6,North,6.0000,41.6000,6.6933,58:11.25,West,58.0000,11.2500,-58.1875,2,IMB,Cemisle,Antigua & Barbuda,58,-99,Anchored,Unspecified,0,Unknown,0,0,0,1,0,2,1,2,3,8:35:00 PM
2369,Actual,Boarded,Peru (Peruvian point of view),Peru (Peruvian point of view),135,,"Berth 5-C, Callao Port, Peru",31,10,2002,15:30,12.07.7,South,12.0000,7.7000,-12.1283333,77:12.3,West,77.0000,12.3000,-77.2050,2,IMB,Bled,Antigua & Barbuda,58,2,Berthed,4,0,Unspecified,0,0,Property,1,0,3,1,2,2,3:30:00 PM
3171,Actual,Boarded,Indonesia,Indonesia,850,,"Balikpapan Anchorage, Indonesia",13,12,2004,2:35,1:16.0,South,1.0000,16.0000,-1.2666667,116:48.0,East,116.0000,48.0000,116.8000,1,IMB,Peoria,Antigua & Barbuda,58,2,Anchored,Unspecified,1,"Daggers, Swords, Guns",4,1,Stores,0,0,2,1,2,4,2:35:00 AM
4676,Actual,Boarded,Yemen,Yemen,679,,Gulf of Aden,5,2,2010,6:00,13:00.0,North,13.0000,0.0000,13.0000,48:45.0,East,48.0000,45.0000,48.7500,1,IMB,Ariella,Antigua & Barbuda,58,2,Steaming,6,1,Guns,4,1,0,1,0,1,1,2,4,6:00:00 AM
790,Attempted,,Philippines,Philippines,840,,"Manila Bay, Philippines",16,2,1998,,14:26.8,North,14.0000,26.8000,14.4466667,120:41.9,East,120.0000,41.9000,120.6983,1,IMB,Martravelier,Antigua & Barbuda,58,4,Steaming,18,0,Unspecified,0,0,None,1,0,1,0,-99,-99,
1356,Attempted,,India,India,750,,"Chennai, India",24,4,2000,,13:6.40,North,13,6.40,13.1066667,80:18.3,East,80,18.30,80.3050,2,IMB,Starlight,Antigua & Barbuda,58,4,Anchored,6,0,Unspecified,0,0,None,1,0,2,0,-99,-99,
1361,Actual,Boarded,Venezuela,Venezuela,101,,"Guanta Anchorage, Venezuela",28,4,2000,,10:14.57,North,10,14.57,10.2428333,64:35.40,West,64,35.40,-64.5900,2,IMB,Alexandra,Antigua & Barbuda,58,4,Berthed,Unspecified,0,Unspecified,0,0,Cargo,1,0,3,1,2,-99,
1468,Actual,Boarded,Indonesia,Indonesia,850,,"Belawan Container Terminal, Indonesia",24,7,2000,,3:47.02,North,3,47.0200,3.7836667,98:42.04,East,98,42.0400,98.7007,2,IMB,Malaysia Star I,Antigua & Barbuda,58,4,Berthed,2,0,Unspecified,0,0,Stores,1,0,3,1,2,-99,
1613,Attempted,Fired Upon,Bangladesh,Bangladesh,771,,"Chittagong Anchorage, Bangladesh",13,10,2000,,22:08.2,North,22,8.20,22.1366667,91:42.1,East,91,42.10,91.7017,1,IMB,Actuaria,Antigua & Barbuda,58,4,Steaming,10,1,Guns,3,1,None,1,0,1,0,3,-99,
2172,Actual,Boarded,Ecuador,Ecuador,130,,"Manta Anchorage, Guayaquil, Ecuador (Used coordinates from other incidents)",24,4,2002,2:00,0:56.52,South,0.0000,56.5200,-2.2833333,80:43.15,West,80.0000,43.1500,-80.7192,2,IMB,Maersk La Guaira,Antigua & Barbuda,58,4,Anchored,2,0,Unspecified,2,1,Property,1,0,2,1,2,4,2:00:00 AM
